id,text,category,date,source
124573,"🇷🇺 😳 «Спартак» получит новый Кубок России взамен разбитого − стоимость трофея составит примерно 10 млн рублей («Mash на спорте»)

Детали для кубка разработают на заводе имени Мальцова в городе Гусь-Хрустальный, а потом соберут его воедино в Москве 🏆

📹 Sport Baza

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 22:43:42,https://t.me/sportsru
124572,"⛵️ 🦾 «Ман Сити» устроил чемпионский парад в честь двух выигранных кубков, а в конце вечера на нем внезапно появился Венсан Компани с трофеем АПЛ 

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 22:23:30,https://t.me/sportsru
124571,"🤎 🇪🇸 Пеп Гвардиола перед уходом из «Ман Сити» благословил ребенка Абдукодира Хусанова поцелуем

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 21:31:06,https://t.me/sportsru
124570,"🎾😊 Стартовал «Ролан Гаррос»: Мирра начала с победы, Зверев – второй претендент на победу, а Джокович с новым рекордом. Выберите своих фаворитов на новый круг и вступайте в борьбу 

➡️ Собрать команду",sport,2026-05-25 21:15:24,https://t.me/sportsru
124569,"⚡️⚡️⚡️⚡️ Джон Дуран не поедет на ЧМ-2026 − главный тренер сборной Колумбии не включил его в финальную заявку

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 20:47:01,https://t.me/sportsru
124568,"🤔 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Микель Артета на вечеринке пообещал фанатам «Арсенала», что в субботу его команда обыграет «ПСЖ» в финале ЛЧ и станет чемпионом Европы

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 20:30:29,https://t.me/sportsru
124567,"🇧🇾 🍃 Александр Лукашенко на встрече с раисом Татарстана Миннихановым заявил, что татары «иногда делают не очень хорошие вещи»:

− Взяли у минского «Динамо» выиграли, аж 4-0 − расстроили всю Беларусь 😢

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 19:57:39,https://t.me/sportsru
124566,"😅📱 Блогер показал, как при помощи 15 айфонов транслировали матч МЛС между «Лос-Анджелес Гэлакси» и «Хьюстон Динамо» – оказалось, к гаджетам за 1500 долларов были подключены профессиональные объективы за 250 тысяч

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 19:00:17,https://t.me/sportsru
124565,"🇷🇺🎩 Шапка-петушок – головной убор, ставший культовым благодаря Юрию Семину. Вы можете выиграть ее и многие другие подарки, а еще узнать много нового про клуб

➡️ Выиграть легендарную шапку",sport,2026-05-25 18:45:11,https://t.me/sportsru
124564,"⚡️⚡️⚡️⚡️ «Милан» уволит Макса Аллегри после непопадания в Лигу чемпионов − на этом настоял Златан (Николо Скира)

Неаполитанские источники пишут, что тренер сразу же после увольнения возглавит «Наполи», откуда ушел Конте 🇮🇹 🇮🇹

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 17:55:54,https://t.me/sportsru
124563,"🇷🇺💀 Угальде неожиданно заговорил на русском прямо во время празднования нового трофея «Спартака»

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 17:30:23,https://t.me/sportsru
124562,"😱🛩 Парапланеристка чудом выжила после того, как самолет сбил ее над Альпами – женщина успела раскрыть запасной парашют и отделалась легкими травмами

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 17:13:01,https://t.me/sportsru
124561,"⚡️⚡️⚡️⚡️⚡️ Дженнаро Гаттузо возглавит «Лацио» (Фабрицио Романо)

Бывший тренер сборной Италии сменит на этом посту Сарри, который станет главным тренером «Аталанты» 🇮🇹

⚽️ Дублируем все посты в Max, если у вас не грузит телеграм",sport,2026-05-25 16:55:51,https://t.me/sportsru
124560,"🏴󠁧󠁢󠁥󠁮󠁧󠁿🇰🇿 Фанаты «Арсенала» из казахстанского Актау устроили чемпионский парад на двухэтажном автобусе по ночным улицам города 

Полиция не разделила радость болельщиков и выписала водителю штраф 👮

⚽️ Все рекорды сезона – в приложении ГОЛ",sport,2026-05-25 16:22:01,https://t.me/sportsru
124559,"👮🚘 Джорджа Расселла оштрафовали на 5 тысяч евро после того, как он в бешенстве швырнул на трассу подголовник своего болида – пилот «Мерседеса» не смог финишировать на Гран-при Канады из-за технических проблем

При этом штраф отложили на год при условии, что британец больше не повторит свой поступок 🤑

🏎 Подписывайтесь на лучший канал о «Формуле-1»",sport,2026-05-25 16:02:22,https://t.me/sportsru
