id,date,text,category,source
16825/picca-s-frikadelkami,23 сентября 2025 г.,"Шаг 1






Всыпать дрожжи и сахар в миску, залить половиной стакана теплой воды. Перемешать и отставить в теплом месте на 15 мин., пока смесь не запенится. В большой миске смешать муку с солью, сделать в центре колодец. Влить оливковое масло, дрожжевую смесь и 150 мл теплой воды. Деревянной ложкой замесить тесто.
Выложить на стол, присыпанный мукой, и месить еще 4–5 мин. Вернуть тесто в миску, накрыть и оставить на 30 мин., пока его объем не увеличится вдвое.
Шаг 2






В это время приготовить начинку. Острый перец очистить от семян и мелко нарезать. Смешать с фаршем, петрушкой и яйцом, приправить солью и перцем. Сформировать 12 маленьких шариков.
Шаг 3






Разогреть в сковороде 2 ст. л. растительного масла и обжарить мясные шарики со всех сторон до коричневого цвета. Дать остыть и обсушить на бумажном полотенце.
Шаг 4






Сладкий перец освободить от сердцевины и нарезать небольшими кусочками. Бекон тонко нарезать.
Шаг 5






Раскатать тесто в круг, выложить в смазанную маслом круглую форму так, чтобы получился небольшой бортик. Полить основу для пиццы томатным соусом и разровнять ложкой.
Шаг 6






Разогреть духовку до 200°С. Равномерно разложить мясные шарики на пиццу, добавить кусочки сладкого перца и бекона. Посыпать сверху сыром и побрызгать оставшимся растительным маслом. Если нужно, приправить солью и перцем. Запекать 18–20 мин.",cooking,Parse
16825/picca-s-frikadelkami,23 сентября 2025 г.,"Шаг 1






Всыпать дрожжи и сахар в миску, залить половиной стакана теплой воды. Перемешать и отставить в теплом месте на 15 мин., пока смесь не запенится. В большой миске смешать муку с солью, сделать в центре колодец. Влить оливковое масло, дрожжевую смесь и 150 мл теплой воды. Деревянной ложкой замесить тесто.
Выложить на стол, присыпанный мукой, и месить еще 4–5 мин. Вернуть тесто в миску, накрыть и оставить на 30 мин., пока его объем не увеличится вдвое.
Шаг 2






В это время приготовить начинку. Острый перец очистить от семян и мелко нарезать. Смешать с фаршем, петрушкой и яйцом, приправить солью и перцем. Сформировать 12 маленьких шариков.
Шаг 3






Разогреть в сковороде 2 ст. л. растительного масла и обжарить мясные шарики со всех сторон до коричневого цвета. Дать остыть и обсушить на бумажном полотенце.
Шаг 4






Сладкий перец освободить от сердцевины и нарезать небольшими кусочками. Бекон тонко нарезать.
Шаг 5






Раскатать тесто в круг, выложить в смазанную маслом круглую форму так, чтобы получился небольшой бортик. Полить основу для пиццы томатным соусом и разровнять ложкой.
Шаг 6






Разогреть духовку до 200°С. Равномерно разложить мясные шарики на пиццу, добавить кусочки сладкого перца и бекона. Посыпать сверху сыром и побрызгать оставшимся растительным маслом. Если нужно, приправить солью и перцем. Запекать 18–20 мин.",cooking,Parse
59374/salat-s-rostbifom,19 декабря 2024 г.,"Шаг 1
Чеснок пропустите через пресс. Вяленые томаты обсушите и мелко порубите. Взбейте оливковое масло с горчицей, лимонным соком и цедрой, чесноком и вялеными томатами, посолите и поперчите. 






Салат с ростбифом


Шаг 2
Зеленый горошек залейте кипятком, оставьте на 5 мин и откиньте на дуршлаг. Красный лук очистите и нашинкуйте тонкими полукольцами. Помидоры черри разрежьте на половинки. 






Салат с ростбифом


Шаг 3
Обжарьте говядину со всех сторон на смеси сливочного и растительного масел, заверните в фольгу и запекайте до готовности в разогретой до 160 °С духовке, дайте полностью остыть. Готовый ростбиф нарежьте тонкими ломтиками. Моцареллу и оливки разрежьте пополам. Пармезан нарежьте стружкой или натрите на мелкой терке. 






Салат с ростбифом


Шаг 4
Выложите салатный микс на сервировочное блюдо, затем разложите горошек, лук, томаты черри, оливки и моцареллу. Верхний слой – ломтики ростбифа, посыпьте пармезаном и полейте приготовленной заправкой. 






Салат с ростбифом",cooking,Parse
59374/salat-s-rostbifom,19 декабря 2024 г.,"Шаг 1
Чеснок пропустите через пресс. Вяленые томаты обсушите и мелко порубите. Взбейте оливковое масло с горчицей, лимонным соком и цедрой, чесноком и вялеными томатами, посолите и поперчите. 






Салат с ростбифом


Шаг 2
Зеленый горошек залейте кипятком, оставьте на 5 мин и откиньте на дуршлаг. Красный лук очистите и нашинкуйте тонкими полукольцами. Помидоры черри разрежьте на половинки. 






Салат с ростбифом


Шаг 3
Обжарьте говядину со всех сторон на смеси сливочного и растительного масел, заверните в фольгу и запекайте до готовности в разогретой до 160 °С духовке, дайте полностью остыть. Готовый ростбиф нарежьте тонкими ломтиками. Моцареллу и оливки разрежьте пополам. Пармезан нарежьте стружкой или натрите на мелкой терке. 






Салат с ростбифом


Шаг 4
Выложите салатный микс на сервировочное блюдо, затем разложите горошек, лук, томаты черри, оливки и моцареллу. Верхний слой – ломтики ростбифа, посыпьте пармезаном и полейте приготовленной заправкой. 






Салат с ростбифом",cooking,Parse
59485/indejka-po-francuzski,19 декабря 2024 г.,"Шаг 1
Мякоть 
индейки
 нарежьте небольшими порционными кусочками. Положите поочередно в пакет и слегка отбейте кухонным молоточком или тупой стороной ножа. 






Индейка по-французски (gastronom.ru)


Шаг 2
Посолите и поперчите, добавьте немного 
сухих трав
 (отлично подойдут: тимьян, розмарин, майоран, базилик), смажьте растительным маслом и положите в форму для запекания.






Индейка по-французски (gastronom.ru)


Шаг 3
Лук очистите и нарежьте полукольцами, но можно еще мельче. Шампиньоны почистите и нарежьте небольшими кусочками. На сковороде с ложкой растительного масла обжарьте лук и грибы до золотистого цвета. 






Индейка по-французски (gastronom.ru)


Шаг 4
Добавьте в грибы соль и перец, сметану и хорошо перемешайте. На кусочки индейки равномерно распределите грибную массу. Помидоры помойте, нарежьте тонкими кружочками и положите на шампиньоны.






Индейка по-французски (gastronom.ru)


Шаг 5
Твердый сыр можно использовать любой, который вы больше любите. Подойдет и самый простой, Российский. Натрите на мелкой терке и насыпьте на помидоры. Если сыр недостаточно соленый, то сначала помидоры можно немного посолить.






Индейка по-французски (gastronom.ru)


Шаг 6
Форму с заготовками отправьте на среднюю полку разогретой до 180°С духовки. Готовьте минут 30-40. В зависимости от толщины нарезки мяса, чем тоньше, тем быстрее блюдо будет приготовлено. 






Индейка по-французски (gastronom.ru)


Шаг 7
Сырная корочка должна зарумяниться. Мясо по-французски из индейки можно есть просто так или добавить зелень, салат, картофель при подаче. Особую изюминку придадут оливки и каперсы, но они совсем не обязательны.






Индейка по-французски (gastronom.ru)",cooking,Parse
59485/indejka-po-francuzski,19 декабря 2024 г.,"Шаг 1
Мякоть 
индейки
 нарежьте небольшими порционными кусочками. Положите поочередно в пакет и слегка отбейте кухонным молоточком или тупой стороной ножа. 






Индейка по-французски (gastronom.ru)


Шаг 2
Посолите и поперчите, добавьте немного 
сухих трав
 (отлично подойдут: тимьян, розмарин, майоран, базилик), смажьте растительным маслом и положите в форму для запекания.






Индейка по-французски (gastronom.ru)


Шаг 3
Лук очистите и нарежьте полукольцами, но можно еще мельче. Шампиньоны почистите и нарежьте небольшими кусочками. На сковороде с ложкой растительного масла обжарьте лук и грибы до золотистого цвета. 






Индейка по-французски (gastronom.ru)


Шаг 4
Добавьте в грибы соль и перец, сметану и хорошо перемешайте. На кусочки индейки равномерно распределите грибную массу. Помидоры помойте, нарежьте тонкими кружочками и положите на шампиньоны.






Индейка по-французски (gastronom.ru)


Шаг 5
Твердый сыр можно использовать любой, который вы больше любите. Подойдет и самый простой, Российский. Натрите на мелкой терке и насыпьте на помидоры. Если сыр недостаточно соленый, то сначала помидоры можно немного посолить.






Индейка по-французски (gastronom.ru)


Шаг 6
Форму с заготовками отправьте на среднюю полку разогретой до 180°С духовки. Готовьте минут 30-40. В зависимости от толщины нарезки мяса, чем тоньше, тем быстрее блюдо будет приготовлено. 






Индейка по-французски (gastronom.ru)


Шаг 7
Сырная корочка должна зарумяниться. Мясо по-французски из индейки можно есть просто так или добавить зелень, салат, картофель при подаче. Особую изюминку придадут оливки и каперсы, но они совсем не обязательны.






Индейка по-французски (gastronom.ru)",cooking,Parse
59415/holodec-v-afganskom-kazane,18 декабря 2024 г.,"Шаг 1
Коленные суставы тщательно вымойте губкой, обсушите бумажными полотенцами, положите на застеленный пергаментной бумагой противень и поставьте в разогретую до 200°С духовку на 20-25 минут. Так бульон для холодца получится прозрачнее и ароматнее.
Шаг 2
Очищенные лук и морковь разрежьте вдоль пополам. На дно казана положите коленные суставы, мякоть голяшки, овощи, лавровый лист и перец. Посолите и влейте воду так, чтобы все мясо было полностью покрыто на 1-2 см.
Шаг 3
Плотно зафиксируйте крышку афганского казана с помощью специальных приспособлений, поставьте на огонь и варите примерно 2,5-3 часа, не открывая и не перемешивая.
Шаг 4
Аккуратно откройте афганский казан, предварительно спустив воздух и уменьшив давление пара с помощью клапана на крышке. Мясо достаньте, остудите и разберите на волокна. Бульон процедите через мелкое сито, овощи выбросьте.
Шаг 5
Разложите мясо в небольшие порционные формы, добавьте по вкусу пропущенный через пресс чеснок, затем залейте бульоном. Поставьте формы с холодцом в прохладное место на 4-5 часов.
Шаг 6
Как только 
холодец
, сваренный в афганском казане, приобретет желеобразную консистенцию, снимите с поверхности лишний жир и подавайте на стол с горчицей, хреном, аджикой или любым соусом по вкусу.",cooking,Parse
59415/holodec-v-afganskom-kazane,18 декабря 2024 г.,"Шаг 1
Коленные суставы тщательно вымойте губкой, обсушите бумажными полотенцами, положите на застеленный пергаментной бумагой противень и поставьте в разогретую до 200°С духовку на 20-25 минут. Так бульон для холодца получится прозрачнее и ароматнее.
Шаг 2
Очищенные лук и морковь разрежьте вдоль пополам. На дно казана положите коленные суставы, мякоть голяшки, овощи, лавровый лист и перец. Посолите и влейте воду так, чтобы все мясо было полностью покрыто на 1-2 см.
Шаг 3
Плотно зафиксируйте крышку афганского казана с помощью специальных приспособлений, поставьте на огонь и варите примерно 2,5-3 часа, не открывая и не перемешивая.
Шаг 4
Аккуратно откройте афганский казан, предварительно спустив воздух и уменьшив давление пара с помощью клапана на крышке. Мясо достаньте, остудите и разберите на волокна. Бульон процедите через мелкое сито, овощи выбросьте.
Шаг 5
Разложите мясо в небольшие порционные формы, добавьте по вкусу пропущенный через пресс чеснок, затем залейте бульоном. Поставьте формы с холодцом в прохладное место на 4-5 часов.
Шаг 6
Как только 
холодец
, сваренный в афганском казане, приобретет желеобразную консистенцию, снимите с поверхности лишний жир и подавайте на стол с горчицей, хреном, аджикой или любым соусом по вкусу.",cooking,Parse
56111/tushenaja-kartoshka-s-mjasom,18 декабря 2024 г.,"Шаг 1






Для приготовления тушеной картошки с мясом нарежьте говядину крупными кусками, посолите и поперчите со всех сторон. Положите мясо в большую кастрюлю с толстым дном, залейте горячей водой так, чтобы мясо было полностью закрыто. 
Шаг 2






Поставьте на сильный огонь, доведите до кипения. Уменьшите огонь до среднего, закройте крышкой и варите, время от времени переворачивая куски, если они стали торчать над водой, 1 ч.

Шаг 3






Картофель очистите и крупно нарежьте. Очистите лук и нарежьте тонкими четвертинками колец. Очистите морковь и нарежьте кружками толщиной 1 см.
Шаг 4






Обжарьте лук и морковь в сковороде в растительном масле с солью на сильном огне, помешивая, 10 мин. Положите к мясу.

Шаг 5






Как только бульон снова закипит, выложите картофель, перемешайте, снова дождитесь закипания, добавьте лавровый лист.
Шаг 6






Тушите 5 мин., выньте лавровый лист.
Шаг 7






Томите под крышкой на минимальном огне от 40 мин. до 1 ч 20 мин. – в зависимости от качества мяса. Подавайте картошку с мясом очень горячей.",cooking,Parse
56111/tushenaja-kartoshka-s-mjasom,18 декабря 2024 г.,"Шаг 1






Для приготовления тушеной картошки с мясом нарежьте говядину крупными кусками, посолите и поперчите со всех сторон. Положите мясо в большую кастрюлю с толстым дном, залейте горячей водой так, чтобы мясо было полностью закрыто. 
Шаг 2






Поставьте на сильный огонь, доведите до кипения. Уменьшите огонь до среднего, закройте крышкой и варите, время от времени переворачивая куски, если они стали торчать над водой, 1 ч.

Шаг 3






Картофель очистите и крупно нарежьте. Очистите лук и нарежьте тонкими четвертинками колец. Очистите морковь и нарежьте кружками толщиной 1 см.
Шаг 4






Обжарьте лук и морковь в сковороде в растительном масле с солью на сильном огне, помешивая, 10 мин. Положите к мясу.

Шаг 5






Как только бульон снова закипит, выложите картофель, перемешайте, снова дождитесь закипания, добавьте лавровый лист.
Шаг 6






Тушите 5 мин., выньте лавровый лист.
Шаг 7






Томите под крышкой на минимальном огне от 40 мин. до 1 ч 20 мин. – в зависимости от качества мяса. Подавайте картошку с мясом очень горячей.",cooking,Parse
